2025-08-24 16:05:40 | INFO     | LLM-FACTORY | llm_strategy.py:115 | Attempting to instantiate LLM with strategy: openai
2025-08-24 16:05:40 | DEBUG    | LLM-FACTORY | llm_strategy.py:47 | Instantiating openai LLM
2025-08-24 16:05:40 | INFO     | LLM-FACTORY | llm_strategy.py:118 | Successfully instantiated LLM: openai
2025-08-24 16:05:40 | DEBUG    | STT-FACTORY | stt_strategy.py:91 | Environment: local, Selected STT: deepgram-2
2025-08-24 16:05:40 | INFO     | STT-FACTORY | stt_strategy.py:106 | Attempting to instantiate STT with strategy: deepgram-2
2025-08-24 16:05:40 | DEBUG    | STT-FACTORY | stt_strategy.py:85 | Instantiating deepgram-2 STT
2025-08-24 16:05:40 | INFO     | STT-FACTORY | stt_strategy.py:109 | Successfully instantiated STT: deepgram-2
2025-08-24 16:05:40 | DEBUG    | TTS-FACTORY | tts_strategy.py:69 | Environment: local, Selected TTS: deepgram
2025-08-24 16:05:40 | INFO     | TTS-FACTORY | tts_strategy.py:83 | Attempting to instantiate TTS with strategy: deepgram
2025-08-24 16:05:40 | DEBUG    | TTS-FACTORY | tts_strategy.py:63 | Instantiating deepgram TTS
2025-08-24 16:05:40 | INFO     | TTS-FACTORY | tts_strategy.py:86 | Successfully instantiated TTS: deepgram
2025-08-24 16:12:54 | INFO     | interview-agent | demo_agent.py:166 | Usage summary: UsageSummary(llm_prompt_tokens=41784, llm_prompt_cached_tokens=33664, llm_completion_tokens=942, tts_characters_count=3496, tts_audio_duration=211.72095833333321, stt_audio_duration=430.19999999999953)
